,id,title,release_date,budget,genres
2363,10015,Heartbreak Ridge,1986-12-15,15000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]"
2365,8388,¡Three Amigos!,1986-12-12,25000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 37, 'name': 'Western'}]"
2366,45712,Gloria,1999-01-22,30000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]"
2372,10314,She's All That,1999-01-29,10000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]"
2374,47139,"Blood, Guts, Bullets and Octane",1998-10-16,7300.0,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}]"
2375,11167,Peeping Tom,1960-04-06,150000.0,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]"
2377,2112,Payback,1999-02-05,90000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]"
2378,16172,Simply Irresistible,1999-02-05,6000000.0,"[{'id': 35, 'name': 'Comedy'}]"
2383,11622,Blast from the Past,1999-02-12,35000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]"
2384,10207,Message in a Bottle,1999-02-22,80000000.0,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]"
2385,9849,My Favorite Martian,1999-02-11,65000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 878, 'name': 'Science Fiction'}]"
2387,18892,Jawbreaker,1999-01-30,3000000.0,"[{'id': 35, 'name': 'Comedy'}]"
2389,1542,Office Space,1999-02-19,10000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]"
2391,15256,200 Cigarettes,1999-02-26,6000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
2392,8224,8MM,1999-02-26,40000000.0,"[{'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}]"
2393,18417,The Other Sister,1999-02-26,35000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
2394,12479,Breakfast of Champions,1999-02-13,12000000.0,"[{'id': 35, 'name': 'Comedy'}]"
2397,26425,Just the Ticket,1999-02-26,12000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]"
2400,8913,Pet Sematary,1989-04-21,11500000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}]"
2401,10906,Pet Sematary II,1992-08-28,8000000.0,"[{'id': 27, 'name': 'Horror'}]"
2402,25748,Children of the Corn II: The Final Sacrifice,1993-01-29,900000.0,"[{'id': 27, 'name': 'Horror'}]"
2406,15856,House on Haunted Hill,1959-02-17,200000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]"
2407,10671,Airport,1970-03-05,10000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]"
2408,27932,Airport 1975,1974-10-18,3000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]"
2409,7227,Airport '77,1977-03-11,6000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]"
2411,5919,The Towering Inferno,1974-12-14,14000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]"
2412,33518,Alligator,1980-07-02,1500000.0,"[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]"
2415,10803,Logan's Run,1976-06-23,9000000.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 10749, 'name': 'Romance'}, {'id': 878, 'name': 'Science Fiction'}]"
2416,871,Planet of the Apes,1968-02-07,5800000.0,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}]"
2417,1685,Beneath the Planet of the Apes,1970-05-01,3000000.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 9648, 'name': 'Mystery'}]"
2418,1705,Battle for the Planet of the Apes,1973-06-15,1700000.0,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]"
2419,1688,Conquest of the Planet of the Apes,1972-06-29,1700000.0,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]"
2420,1687,Escape from the Planet of the Apes,1971-05-20,2500000.0,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]"
2421,166680,Avalanche,1978-09-29,6500000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}]"
2422,11123,Earthquake,1974-11-15,7000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]"
2423,29723,The Concorde... Airport '79,1979-08-17,14000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]"
2426,9535,Analyze This,1999-03-05,80000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]"
2427,9455,The Corruptor,1999-03-12,25000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]"
2428,796,Cruel Intentions,1999-03-05,10500000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 53, 'name': 'Thriller'}]"
2429,100,"Lock, Stock and Two Smoking Barrels",1998-03-05,1350000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]"
2433,30943,The Deep End of the Ocean,1999-03-12,38000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]"
2435,7341,The Rage: Carrie 2,1999-03-11,21000000.0,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]"
2436,10350,Wing Commander,1999-03-11,30000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]"
2438,9540,Dead Ringers,1988-09-23,13000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]"
2440,11773,Village of the Damned,1960-11-05,200000.0,"[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]"
2442,22345,Baby Geniuses,1999-03-12,12000000.0,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]"
2445,1641,Forces of Nature,1999-03-12,75000000.0,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]"
2446,47288,The King and I,1999-03-19,25000000.0,"[{'id': 16, 'name': 'Animation'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]"
2447,10212,Ravenous,1999-03-16,12000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 37, 'name': 'Western'}]"
2452,16520,The King and I,1956-06-29,4550000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]"
2454,11374,Edtv,1999-03-26,80000000.0,"[{'id': 35, 'name': 'Comedy'}]"
2455,16379,The Mod Squad,1999-03-26,50000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]"
2457,28029,A Walk on the Moon,1999-01-29,14000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
2458,603,The Matrix,1999-03-30,63000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]"
2459,4951,10 Things I Hate About You,1999-03-30,16000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]"
2461,8970,The Out-of-Towners,1999-04-02,75000000.0,"[{'id': 35, 'name': 'Comedy'}]"
2462,9840,The Dreamlife of Angels,1998-09-16,500000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10769, 'name': 'Foreign'}]"
2465,70687,The Sticky Fingers of Time,1997-06-06,250000.0,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 18, 'name': 'Drama'}]"
2466,11660,Following,1998-09-12,6000.0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]"
2467,9430,Go,1999-04-09,6500000.0,"[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}]"
2468,11355,Never Been Kissed,1999-04-09,25000000.0,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]"
2469,18764,Twin Dragons,1992-01-15,10000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 28, 'name': 'Action'}]"
2470,9465,Cookie's Fortune,1999-01-22,10000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]"
2473,49981,Goodbye Lover,1998-05-01,20000000.0,"[{'id': 53, 'name': 'Thriller'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}]"
2474,6522,Life,1999-04-16,80000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]"
2476,10209,Hideous Kinky,1998-11-17,12000000.0,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]"
2480,1902,Open Your Eyes,1997-12-19,2900000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]"
2484,12596,Pushing Tin,1999-04-23,33000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]"
2486,1946,eXistenZ,1999-04-14,15000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 27, 'name': 'Horror'}]"
2491,1844,Entrapment,1999-04-29,66000000.0,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]"
2492,6552,Idle Hands,1999-04-30,25000000.0,"[{'id': 53, 'name': 'Thriller'}, {'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}]"
2498,3309,Mildred Pierce,1945-09-24,1453000.0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]"
2499,18462,Night of the Comet,1984-11-16,3000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]"
2500,28941,Chopping Mall,1986-03-21,800000.0,"[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]"
2502,8592,Dick Tracy,1990-06-15,47000000.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]"
2503,564,The Mummy,1999-04-16,80000000.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}]"
2504,13852,The Castle,1997-04-10,786675.0,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]"
2508,10210,A Midsummer Night's Dream,1999-04-25,11000000.0,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]"
2510,17962,After Life,1998-09-11,11791.0,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}]"
2512,4927,Edge of Seventeen,1998-05-14,1500000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
2514,1893,Star Wars: Episode I - The Phantom Menace,1999-05-19,115000000.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]"
2519,15849,The Mummy,1932-12-22,196000.0,"[{'id': 27, 'name': 'Horror'}]"
2526,1924,Superman,1978-12-13,55000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}]"
2527,8536,Superman II,1980-12-04,54000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}]"
2528,9531,Superman III,1983-06-17,39000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}]"
2529,11411,Superman IV: The Quest for Peace,1987-07-23,17000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]"
2530,138,Dracula,1931-02-12,355000.0,"[{'id': 27, 'name': 'Horror'}]"
2533,3035,Frankenstein,1931-11-21,291000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]"
2542,36685,The Rocky Horror Picture Show,1975-08-14,1200000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}, {'id': 10402, 'name': 'Music'}, {'id': 878, 'name': 'Science Fiction'}]"
2544,30168,It Came from Hollywood,1982-12-10,5000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 99, 'name': 'Documentary'}]"
2547,8974,The War of the Worlds,1953-08-13,2000000.0,"[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]"
2549,11549,Invasion of the Body Snatchers,1956-02-05,417000.0,"[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]"
2553,17918,Swamp Thing,1982-02-19,3000000.0,"[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]"
2556,509,Notting Hill,1999-05-13,42000000.0,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]"
2557,1090,The Thirteenth Floor,1999-04-16,16000000.0,"[{'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 9648, 'name': 'Mystery'}]"
2559,15059,The Loss of Sexual Innocence,1999-04-29,4000000.0,"[{'id': 18, 'name': 'Drama'}]"
2561,12117,Instinct,1999-06-04,80000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]"
2567,62676,Limbo,1999-06-04,8000000.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]"
2568,817,Austin Powers: The Spy Who Shagged Me,1999-06-08,33000000.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 878, 'name': 'Science Fiction'}]"
2571,14283,The Red Violin,1998-09-10,18000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]"
2572,37135,Tarzan,1999-06-18,150000000.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]"
2573,2275,The General's Daughter,1999-06-18,60000000.0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]"
2575,24137,An Ideal Husband,1999-04-15,14000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]"
2576,10376,The Legend of 1900,1998-10-28,9000000.0,"[{'id': 14, 'name': 'Fantasy'}]"
2577,104,Run Lola Run,1998-08-20,1530000.0,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]"
2579,9032,Big Daddy,1999-06-25,34200000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]"
2581,9421,The Dinner Game,1998-04-15,12500000.0,"[{'id': 35, 'name': 'Comedy'}]"
2584,6488,Arachnophobia,1990-08-09,31000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}]"
2585,9473,"South Park: Bigger, Longer & Uncut",1999-06-30,21000000.0,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}]"
2586,8487,Wild Wild West,1999-06-29,170000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 37, 'name': 'Western'}]"
2589,2767,Les Amants du Pont-Neuf,1991-10-16,28000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
2591,2105,American Pie,1999-07-09,11000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]"
2592,1073,Arlington Road,1999-03-19,21500000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]"
2594,10208,Muppets from Space,1999-07-14,24000000.0,"[{'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 10751, 'name': 'Family'}]"
2595,2667,The Blair Witch Project,1999-07-14,60000.0,"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}]"
2597,345,Eyes Wide Shut,1999-07-14,65000000.0,"[{'id': 9648, 'name': 'Mystery'}, {'id': 18, 'name': 'Drama'}]"
2598,9825,Lake Placid,1999-07-15,27000000.0,"[{'id': 27, 'name': 'Horror'}, {'id': 35, 'name': 'Comedy'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]"
2599,16158,The Wood,1999-07-16,6000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
2600,133575,The Velocity of Gary,1999-07-16,4000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
2601,620,Ghostbusters,1984-06-07,30000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}]"
2602,2978,Ghostbusters II,1989-06-15,37000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}]"
2603,10490,Drop Dead Gorgeous,1999-07-23,10000000.0,"[{'id': 35, 'name': 'Comedy'}]"
2604,11618,The Haunting,1999-07-23,80000000.0,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 14, 'name': 'Fantasy'}, {'id': 9648, 'name': 'Mystery'}]"
2605,332,Inspector Gadget,1999-07-23,75000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]"
2606,1812,Trick,1999-07-23,450000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]"
2607,8914,Deep Blue Sea,1999-07-28,60000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]"
2608,9824,Mystery Men,1999-08-06,68000000.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}]"
2609,4806,Runaway Bride,1999-07-30,70000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]"
2611,247,The Killing,1956-05-08,320000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]"
2612,10056,Killer's Kiss,1955-09-21,75000.0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]"
2613,967,Spartacus,1960-10-06,12000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]"
2614,802,Lolita,1962-06-13,2000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
2615,3175,Barry Lyndon,1975-12-18,11000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 10752, 'name': 'War'}]"
2618,21185,Vibes,1988-08-05,1884000.0,"[{'id': 10749, 'name': 'Romance'}, {'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}]"
2620,10136,The Golden Child,1986-12-12,25000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}]"
2624,873,The Color Purple,1985-12-18,15000000.0,"[{'id': 18, 'name': 'Drama'}]"
2628,108312,Native Son,1986-12-24,2000000.0,"[{'id': 18, 'name': 'Drama'}]"
2630,11416,The Mission,1986-09-29,24500000.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 36, 'name': 'History'}]"
2631,10776,Little Shop of Horrors,1986-12-19,25000000.0,"[{'id': 27, 'name': 'Horror'}, {'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}]"
2632,24452,The Little Shop of Horrors,1960-09-14,30000.0,"[{'id': 35, 'name': 'Comedy'}]"
2635,30890,Radio Days,1987-01-30,16000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]"
2644,16406,Dick,1999-08-04,13000000.0,"[{'id': 35, 'name': 'Comedy'}]"
2646,10386,The Iron Giant,1999-08-06,70000000.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}]"
2647,745,The Sixth Sense,1999-08-06,40000000.0,"[{'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]"
2648,913,The Thomas Crown Affair,1999-08-06,48000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}, {'id': 10749, 'name': 'Romance'}]"
2649,912,The Thomas Crown Affair,1968-06-19,4300000.0,"[{'id': 10749, 'name': 'Romance'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]"
2655,11353,Bowfinger,1999-08-12,55000000.0,"[{'id': 35, 'name': 'Comedy'}]"
2656,17707,Brokedown Palace,1999-08-13,25000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]"
2657,9781,Detroit Rock City,1999-08-13,6500000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}]"
2663,48781,Never Talk to Strangers,1995-10-20,6400000.0,"[{'id': 53, 'name': 'Thriller'}, {'id': 10749, 'name': 'Romance'}]"
2665,29056,The Raven,1963-01-25,350000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}]"
2666,26857,The Tingler,1959-07-29,250000.0,"[{'id': 27, 'name': 'Horror'}]"
2667,28501,The Pit and the Pendulum,1961-08-12,200000.0,"[{'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}, {'id': 18, 'name': 'Drama'}]"
2674,10766,Damien: Omen II,1978-06-09,6800000.0,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]"
2676,813,Airplane!,1980-07-02,3500000.0,"[{'id': 35, 'name': 'Comedy'}]"
2678,9406,An American Werewolf in Paris,1997-12-25,22000000.0,"[{'id': 27, 'name': 'Horror'}, {'id': 35, 'name': 'Comedy'}]"
2680,11153,National Lampoon's Vacation,1983-07-28,15000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}, {'id': 10749, 'name': 'Romance'}]"
2682,2280,Big,1988-06-03,18000000.0,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}, {'id': 10751, 'name': 'Family'}]"
2687,10396,Tequila Sunrise,1988-12-02,23000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 80, 'name': 'Crime'}, {'id': 10749, 'name': 'Romance'}, {'id': 53, 'name': 'Thriller'}]"
2688,9944,The Pelican Brief,1993-12-16,45000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]"
2691,10342,Teaching Mrs. Tingle,1999-08-11,13000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}]"
2692,10366,Universal Soldier: The Return,1999-08-05,45000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]"
2693,9349,Universal Soldier,1992-07-10,23000000.0,"[{'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 80, 'name': 'Crime'}]"
2697,22314,In Too Deep,1999-08-25,7000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]"
2707,9096,Medicine Man,1992-02-07,40000000.0,"[{'id': 12, 'name': 'Adventure'}]"
